,Time [h],Calibrated OD [AU],Growth rate [1/h]
491,29.376666666939897,0.21908699999999998,0.06200482313638148
492,29.3849999997765,0.2170953,0.061961113343775034
493,29.3933333326131,0.21443969999999998,0.0619174035511686
494,29.4016666654497,0.22174259999999998,0.061873503880424535
495,29.4769444456324,0.2197509,0.06147144374541171
496,29.560000000521498,0.22107870000000002,0.061047349569056907
497,29.6352777779102,0.22174259999999998,0.06067742559124299
498,29.710277779027802,0.22307039999999997,0.0603124616303776
499,29.7852777773514,0.2243982,0.05995811631447372
500,29.793611110188102,0.22771770000000002,0.059919315409925906
501,29.8686111113057,0.2243982,0.05957952259992485
502,29.8938888888806,0.2243982,0.059465680054053824
503,29.9022222217172,0.22307039999999997,0.059426905100327165
504,29.9105555545539,0.2317011,0.05938813014660004
505,29.9855555556715,0.22638989999999998,0.05905408809702295
506,30.0272222226486,0.23037329999999998,0.058883352900107086
507,30.0355555554852,0.2343567,0.05884730772660565
508,30.0438888883218,0.225726,0.05881091856647564
509,30.1191666657105,0.23103720000000003,0.05849040114229591
510,30.194166666828103,0.2270538,0.058194746360131624
511,30.252499999478502,0.2270538,0.05796871496288699
512,30.2608333323151,0.2343567,0.05793664153451622
513,30.3358333334327,0.23037329999999998,0.05765483489547959
514,30.344166666269302,0.2237343,0.05762480158483998
515,30.3608333319426,0.23037329999999998,0.05756473496356041
516,30.3691666675732,0.2363484,0.05753470164285124
517,30.4444444449618,0.23369279999999998,0.057267266515045226
518,30.519444443285497,0.23236500000000002,0.05701259730169319
519,30.5944444444031,0.23037329999999998,0.05677035960203541
520,30.611111110076298,0.2356845,0.056718902821681585
521,30.619444445706897,0.2370123,0.05669317442287846
522,30.6944444440305,0.23369279999999998,0.05646549450998375
523,30.7694444451481,0.23502060000000002,0.056245641880723285
524,30.802777776494604,0.2370123,0.05615070784824328
525,30.8111111121252,0.24033179999999998,0.05612858750796349
526,30.8694444447756,0.2416596,0.05597401232957554
527,30.8777777776122,0.2429874,0.05595264949492772
528,30.894444443285497,0.23966790000000002,0.05590992382563183
529,30.9027777789161,0.2343567,0.05588856098382147
530,30.9194444445893,0.2416596,0.05584583531452584
531,30.9277777774259,0.2429874,0.05582447247987802
532,30.944444443099197,0.24099570000000003,0.05578335040479138
533,30.9527777787298,0.24697080000000002,0.05576363626761048
534,30.986111110076298,0.239004,0.055684779745325694
535,30.994444445706897,0.23502060000000002,0.0556650656081448
536,31.061388887465,0.23834009999999997,0.05550582298104729
537,31.069722223095603,0.24697080000000002,0.055485977172907326
538,31.086388888768898,0.2463069,0.055449218407964115
539,31.0947222216055,0.2376762,0.055431726637167146
540,31.128055555746002,0.2429874,0.055361759548114425
541,31.1363888885826,0.2463069,0.05534426777731746
542,31.1447222214192,0.23966790000000002,0.055326776006520494
543,31.1780555555597,0.24232350000000002,0.05526482200581809
544,31.1863888883963,0.2449791,0.055249403032506486
545,31.2613888895139,0.2416596,0.055098728300986485
546,31.311388889327603,0.24697080000000002,0.05500412412984376
547,31.3197222221643,0.24962640000000003,0.054990054309578
548,31.328055555000898,0.24232350000000002,0.054975984489312416
549,31.369722221978,0.2476347,0.05490899930697747
550,31.3780555548146,0.252282,0.05489687880494374
551,31.3947222232819,0.2463069,0.05487263779681236
552,31.4030555561185,0.24232350000000002,0.05486051729477863
553,31.4780555544421,0.25029029999999997,0.05473421990936284
554,31.4863888900727,0.252282,0.05471938685530222
555,31.503055555746002,0.2489625,0.05469614156293136
556,31.5116666676477,0.2443152,0.054687685286673164
557,31.586666665971304,0.24564299999999997,0.0546054418946772
558,31.66194444336,0.25029029999999997,0.05450318747297636
559,31.7119444431737,0.2516181,0.054440671912703756
560,31.720277778804302,0.2436513,0.05443395049239561
561,31.7786111114547,0.2536098,0.054387721077954
562,31.7869444442913,0.25493760000000004,0.05438260198004189
563,31.7952777771279,0.2476347,0.054377482882129784
564,31.811944445595103,0.2529459,0.05436724468458923
565,31.8202777784318,0.258921,0.05436212558667706
566,31.8952777767554,0.25692929999999997,0.05429647917356525
567,31.970277777873,0.2529459,0.05424147208151147
568,32.0455555552617,0.2509542,0.05419912112422793
569,32.1205555563793,0.2556015,0.054166012335647246
570,32.1955555547029,0.2542737,0.05414783025596039
571,32.2705555558205,0.25493760000000004,0.05413959301743216
572,32.3122222227976,0.2582571,0.054130607520684236
573,32.3205555556342,0.26290440000000004,0.05412881042145516
574,32.3705555554479,0.26423220000000003,0.054120161704470114
575,32.3788888882846,0.2536098,0.05411883827021289
576,32.3955555567518,0.2562654,0.05411619140125476
577,32.4038888895884,0.2595849,0.05411537917994191
578,32.478888887912,0.2595849,0.05413984142540327
579,32.4872222235426,0.26423220000000003,0.05414202186800406
580,32.5038888892159,0.2635683,0.054146382751743556
581,32.5122222220525,0.2688795,0.05414856319361329
582,32.5205555548891,0.2575932,0.05415074363548302
583,32.5958333322778,0.2575932,0.054152125011906665
584,32.6708333333954,0.2595849,0.05416149622985915
585,32.7208333332092,0.2635683,0.05417928778487523
586,32.7291666660458,0.2682156,0.05418267508685157
587,32.7541666673496,0.26688779999999995,0.054194057364375485
